23.06.2024|16:09:29*+#+*mh*+#+*1*+#+*Block-DB2*+#+*
23.06.2024|15:09:50*+#+*mh*+#+*1*+#+*Block-DB2*+#+*
23.06.2024|15:04:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|15:03:12*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|15:00:46*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:58:33*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:56:48*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:36:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:35:14*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:35:04*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:34:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:32:46*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:24:43*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:16:05*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:15:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:13:36*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:13:26*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:11:48*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:11:05*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|14:02:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|13:57:20*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|13:55:40*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|13:50:43*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
23.06.2024|13:42:58*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
23.06.2024|13:42:58*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
23.06.2024|13:39:35*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|22:22:39*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:19:50*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:16:59*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:13:33*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:10:40*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:08:58*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:08:14*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:06:07*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|22:04:26*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|22:04:17*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:58:54*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:57:05*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:50:42*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:42:52*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:39:51*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|21:39:50*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:38:19*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:19:09*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|21:19:08*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:12:04*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:10:06*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|21:10:04*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
21.06.2024|21:00:12*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
21.06.2024|20:58:07*+#+*mh*+#+*1*+#+*Block-DB1*+#+*
